,team_name,abbreviation,bpi,off,def,pbpi,wins,loses
0,Celtics,BOS,8.075,6.593,1.482,8.075,75,20
1,Nuggets,DEN,4.684,2.487,2.197,4.684,64,30
2,Thunder,OKC,5.06,2.404,2.657,5.06,63,29
3,Timberwolves,MIN,4.728,1.192,3.536,4.728,64,32
4,Clippers,LAC,3.726,3.481,0.245,3.726,53,35
5,Mavericks,DAL,6.116,3.479,2.637,6.116,61,36
6,Knicks,NY,2.8,2.409,0.39,2.8,57,38
7,Pelicans,NO,1.782,0.398,1.384,1.782,49,37
8,Bucks,MIL,-3.353,-0.695,-2.658,-3.353,51,37
9,Suns,PHX,1.481,1.627,-0.147,1.481,49,37
10,Cavaliers,CLE,3.055,0.6,2.456,3.055,53,41
11,Pacers,IND,2.918,4.737,-1.818,2.918,55,43
12,Lakers,LAL,1.604,2.197,-0.593,1.604,48,39
13,Magic,ORL,0.824,-2.175,2.999,0.824,50,39
14,76ers,PHI,3.339,1.452,1.887,3.339,49,39
15,Warriors,GS,1.327,1.58,-0.253,1.327,46,36
16,Heat,MIA,4.609,0.104,4.505,4.609,47,40
17,Kings,SAC,0.937,0.781,0.156,0.937,46,36
18,Rockets,HOU,-0.617,-0.713,0.096,-0.617,41,41
19,Bulls,CHI,-0.836,0.598,-1.434,-0.836,39,43
20,Hawks,ATL,-1.485,0.922,-2.407,-1.485,36,46
21,Nets,BKN,-4.156,-3.599,-0.558,-4.156,32,50
22,Jazz,UTAH,-3.853,0.452,-4.305,-3.853,31,51
23,Grizzlies,MEM,-0.256,-3.388,3.132,-0.256,27,55
24,Raptors,TOR,-5.504,-2.258,-3.245,-5.504,25,57
25,Spurs,SA,-2.411,-2.686,0.275,-2.411,22,60
26,Trail Blazers,POR,-5.867,-4.909,-0.957,-5.867,21,61
27,Hornets,CHA,-7.752,-4.775,-2.977,-7.752,21,61
28,Wizards,WSH,-11.703,-6.475,-5.228,-11.703,15,67
29,Pistons,DET,-10.147,-6.258,-3.89,-10.147,14,68
